original,predicted,ix,wer,cer,num_tokens,num_chars,path,substitutions,insertions,deletions
सामान्यतः त्रिंशत्प्रश्नात्मकः ग्रन्थः आपस्तंबेन विरचितं विरचितः ,सामान्यतः त्रिंशत् पृष्टात् कः ग्रन्थः स्तम्बेन विरचितम् विरचितः ,232,5,11,6,59,/home/holla/data/processed/AAM-2010-07-11-0520-0028.wav,3,2,0
अनुसंधानमेतन् मानव जातये बहुलाभकरं सेत्स्यति इत्युदीर्य श्री मोदिना भैषज्यच्छात्राः आयुर्विज्ञान क्षेत्रीय नवीनतम स्रोतानां अवगमार्थं व्यवहार दृशा स्वीयाध्ययन प्रवर्तनाय प्रबोधिताः ,अनुसन्धानम् एतन् मानव जाते बहु लाभकरम् सेत्स्यति इत्युदीर्यते श्री मदिरा भैषज्यम् आयुर्वेद क्षेत्रे नवीन तम शोधनम् अवगम्य व्यवहार दश स्वाध्याय प्रवर्तय ,61,18,56,19,162,/home/holla/data/processed/MGV-2014-10-05-1810-0008.wav,16,2,0
एवं यदि पुनः आलस्यादिना चिरकाल अकरणे स्मृत्यन्तर तत्काल विहित कृच्छ्रादिकं होमद्रव्य दानं इत्यादि कर्तव्यं ,एवम् यदि पुनः स्यादिति काल अकरणे स्मृत्यात्मको विहिता कृत्वा दिक् होम द्रव्य दानम् इत्यादि कर्तव्यम् ,488,11,26,14,93,/home/holla/data/processed/KAM-2010-07-20-0428-0141.wav,10,1,0
परन्तु सर्व अपवादार्थं सर्व बादार्थं तत्र उदगयन पुर्व पक्ष अहः यानि सन्ति तेषां अपवादार्थं एतत् सूत्रं कृतं इति सूत्रकारः वदन्नस्ति ,परन्तु सर्व वादार्थम् सर्व वादार्थम् तत्र उदकेन पूर्वपक्षे अहः यानि सन्ति तेषाम् अपवादान् एतत् सूत्रम् कृतम् इति सूत्रकारैः वदन् अस्ति ,602,12,22,20,112,/home/holla/data/processed/KAM-2010-07-20-0428-0115.wav,10,1,1
स एवअग्निः अग्रे व्याकतत्वेन स्थितः कुत्रचित् एव् निविडद्रव्यरूपेण कुचित् विरलद्रव्यरूपेण अवस्थितः परस्परं सापेक्षया एकैव अग्निः उष्णः शीतशैत्युच्यते ,स एव अग्निः अग्रे व्यापकतया स्थितः कुत्रचित् निद्रारूपेण क्वचित् विदद्रे रूपेण अवस्थितः परस्परम् नापेक्ष्यते अग्निः उष्णः शीतः इत्युच्यते ,250,12,33,17,133,/home/holla/data/processed/ANA-2010-07-20-0216-0199.wav,9,2,1
तत्र पुनः सर्वज्ञत्वस्य प्रतिष्ठापनार्थं अग्रिमं सूत्रं आगतम् वेदाश्च ,तत्र पुनः सर्वज्ञत्वम् प्रतिष्ठा नार्तम् अग्निम् सूत्रम् आगतम् ,719,6,17,8,62,/home/holla/data/processed/AAM-2010-07-11-0520-0092.wav,6,0,0
तत्र प्राचीनावीतिना इति सूत्रं विधास्यं सूत्रकारः स्वतन्त्रं अस्वतन्त्रं सर्व पित्र्यकर्म प्राचीनावीतिना कर्तव्यानि इति वदन् अस्ति ,तत्र प्राचीना विना इति सूत्रम् विहास्यन् सूत्रकारैः स्वतन्त्रम् स्वतन्त्रम् सर्व पत्य कर्म प्राचीना वेति न कर्तव्यानि इति वदन् अस्ति ,858,12,17,15,116,/home/holla/data/processed/KAM-2010-07-20-0428-0144.wav,8,4,0
पञ्चविशेच प्रश्ने परिभाशां होत्रमन्त्राण् प्रवरकाण्डञ्च उपदिदेश ,पञ्चविंशति च प्रश्ने परिभाषा अत्र मन्त्रान् प्रकाण्डे उपरि देश ,926,8,14,6,58,/home/holla/data/processed/AAM-2010-07-11-0520-0030.wav,5,3,0
पुण्याह इत्युक्ते अह्न्ः नवधाविभागस्य ये अयुजोभागाः ते पुण्याह शब्द वाच्याः इति तत्र सह सूत्रकारः सूचयन् अस्ति ,पुण्याः इत्युक्ते अह्नः नवधा विभाव्य ये अयुजि भागाः ते पुण्याः शब्दवाच्यम् इति सः सूत्रकारैः सूचयन्ति ,859,14,17,16,95,/home/holla/data/processed/KAM-2010-07-20-0428-0060.wav,11,1,2
अनन्तरं एवं श्रौतकर्म व्याख्यानानन्तरं अथ श्रौत कर्माणं व्याख्यानानन्तरं आचारात् इति आङ् उपसर्गः अत्र अविच्छेद व्याप्त्यर्थः ,अनन्तरम् एवम् श्रोता कर्म व्याख्यानान्तरम् अथ श्रौतकर्मापेक्षया नान्तम् आचरत् इति आह उपसर्गे अत्र अविच्छेदि व्याप्य रथः ,101,14,28,15,110,/home/holla/data/processed/KAM-2010-07-20-0428-0042.wav,13,1,0
जम्मू कश्मीरराज्ये जलपूर ग्रस्त भागेभ्यः प्रायेण द्वाचत्वारिंशत् सहस्राधिकैक लक्षाधिकाः जनाः सेनाभिः राष्ट्रियापत् साहाय्य बलैश्च संरक्षिताः ,निर्मलः जन्म करस्य विभिन्नेषु भागेषु सेनापि राष्ट्रियापदा साहाय्य बले सुरक्षा साहाय्य कार्याणि प्रवर्तन्ते अधुनावधि चत्वारिंशत् धिक् लक्ष जनाः संरक्षितः सन्ति ,47,20,105,15,126,/home/holla/data/processed/NKN-2014-09-13-1810-0001.wav,15,5,0
पाकिस्ताने पेशावरे एकस्मिन् सैन्यबलसंचालित्विद्यालये शस्त्रा पूरितैःतालिबानीयैः आत्मघात्याक्रमणकारिभिः छात्रान् शिक्षकांश्च समेत्य षडविंशाधिकैकशतं जनाः व्यापादिताः ,पाक स्थाने पारे एकस्मिन् सैन्य बल सञ्चलितः विद्यालयः शस्त्राणि तैः तालीवनैः आत्मतया क्रमेण करिभिः छात्रान् शिक्षिका समेति विंशति कश्चन व्यापाराः ,817,18,44,13,151,/home/holla/data/processed/MDV-2014-12-16-1810-0001.wav,11,7,0
कथं इत्युक्ते तत्र प्रथमतः उदगयाद् उदगदे उदगयादीनि नियमानि प्राप्तानि सति तत्रां क्वचित् क्वचित् प्रदेशे अनियमः अस्माकं प्रतिभासते ,कथमित्युक्ते तत्र प्रथमतः उदयात् उदके उदयादिषु नियमान् प्राप्तानि सति तत्र क्वचित् क्वचित्प्रदेशे नियमः अस्माकम् प्रतिभाससे ,942,12,17,17,114,/home/holla/data/processed/KAM-2010-07-20-0428-0077.wav,10,0,2
मध्यप्रदेशे केन्द्रीयवनपर्यावरणमन्त्रिणा प्रकाश जावडेकरेण अद्य सांसदादर्शग्रामयोजनान्तर्गतं सतनाजनपदे चित्रकूटं निकषा वर्तमानस्य पालदेव ग्रामस्य विकासाय प्रतिश्रुतम् ,मध्यप्रदेशे केन्द्र न पर्यावरण मन्त्रिणाम् प्रकाश जावळी करेण अद्य सन्तानः ग्राम योजना तर्कम् सत् जनपदे चित्रकूटम् निशा वर्तमानस्य पादेन ग्रामस्य विकासाय प्रतिश्रुतम् ,213,15,28,14,152,/home/holla/data/processed/MDV-2014-11-15-1810-0010.wav,7,8,0
अत्र विशेषः इदानीं एवं यज्ञशब्दार्थे विच्यमाने यज्ञार्थात् कर्मणोन्यत्र इत्यत्र यज्ञार्थात् कर्म यज्ञेशब्देन तत्र प्रकरणवशात् यज्ञः परमेश्वरैव यज्ञः ,अत्र विशेषः इदानीम् एवम् यज्ञ शब्दार्थः प्रीत्या यज्ञार्थात् कर्मणो यत्र इत्यत्र यज्ञार्थात् कर्म यज्ञ शब्देन तत् प्रकरणात् यज्ञः परमेश्वरे यज्ञः ,305,12,21,17,132,/home/holla/data/processed/ANA-2010-07-20-0216-0069.wav,9,3,0
पंजाबे होशियार्पुरजनपदन्यायालयो गत दिने पञ्च विंशति वर्षीये एकस्मिन् प्रकरणे प्राक्तनं पञ्जाब् रक्षित्रयं प्रत्येकं पर्चवर्षात्मकेन कारावासेन दण्डित्वान् ,पञ्जरे कोषात् पुर जनपद न्यायालये गत दिने पञ्चविंशति वर्षे एकस्मिन् प्रकरणम् प्राप्तम् पञ्चवर्ष त्रयम् प्रत्येकम् पञ्च वर्षात्मकः करवालेन दण्डितवान् ,805,17,34,16,138,/home/holla/data/processed/MDV-2014-05-10-1810-0009.wav,14,3,0
द्वितीयं कारणं यदुच्यते बोधायनसूत्रसामान्यः एव विषयः अन्यसूत्रेषु वर्तते इति ,द्वितीयम् कारणम् यदुच्यते बोधायन सूत्रे सामान्यः एव विषयः अन्य सूत्रे वर्तते इति ,376,7,7,9,68,/home/holla/data/processed/AAM-2010-07-11-0520-0015.wav,4,3,0
शुचिना कर्तव्यं आचान्तेन कर्तव्यं इत्यादि वचनान् श्रौत गार्ह्यकर्माणि कर्तुं शुचित्वं अपेक्षते इति गम्यते ,शुचिना कर्तव्यम् आचार्येण कर्तव्यम् इत्यादि वचनात् श्रोता ह्यकर्मणः कर्तुम् शुचि त्वम् अपेक्षते इति गम्यते ,103,9,18,13,93,/home/holla/data/processed/AAM-2010-07-11-0520-0055.wav,8,1,0
पूर्णमासयागे आग्नेय पुरोडाशः अग्नीषौमीय पुरोडाशः प्रजापतेः आज्यस्य उपांशु यागः प्रधानहवींषि ,पूर्ण मासे अग्ने पुरुषः अग्निम् पुरोधाः प्रजापतेः आद्यस्य उपांशु यागः प्रधानः वंशः ,907,9,21,10,82,/home/holla/data/processed/VAM-2010-06-22-2218-0027.wav,7,2,0
हत्थं नामपरावर्तनानन्तरं सम्प्रति सिल्चर् विधानसभासनार्थं द्वादश् लखीपुरासनाय पञ्च जमुनामुख विधानसभासनार्थं च नव प्रत्याशिनः अवशिष्टाः सन्ति ,इत्थम् नाम प्रावर्तत नान्तम् सम्प्रति सर्वदा सभा सनाथम् द्वादश लङि पुरातनाः पञ्च जनमुखे विधा सभा सनाथम् च नव प्रत्ययिना अवशिष्टाः सन्ति ,411,15,36,15,126,/home/holla/data/processed/MDV-2014-08-31-1810-0008.wav,9,6,0
भारतीयरिज<unk>र्वबैंकं निगदति यत् समुन्नतस्य राजनीतिकस्थैर्यस्य समन्वितनीतेश्च आकाङ्क्षाणां कारणात् अर्थ व्यवस्थायै विपणीभ्यश्च अतितराम् आनुकूल्यम् अनुभूयते ,भारतीय विदर्भान् कम् निनदति यत् सुन्नत स्य राजनीतिक स्थैर्यस्य समन्विता नित्यश्च आकाङ्क्षन् कारणात् अर्थव्यवस्था ये विपणिम् यश्च अतितराम् आनुकूल्यम् अनुभूयते ,617,15,26,14,143,/home/holla/data/processed/DAJ-2014-06-27-0655-0001.wav,9,6,0
तेनोक्तं यत् भारतं पाकिस्ताने स्थिरतां शान्तिं समृद्धिं च वाञ्छति अपि च प्रतिवेशि देशे साम्प्रतिकीम् आततिमयीं स्थितिम् अवलोक्य सुतरां चिन्तितमस्ति ,तेनोक्तम् यत् भारतम् पाक स्थाने स्थिताम् शान्तिम् समृद्धिम् च वाञ्छति अपि च प्रतिवेशी देशे साम्प्रतिकीम् आततम् स्थितिम् अवलोक्य सुतराम् चिन्तितम् अस्ति ,437,12,22,19,128,/home/holla/data/processed/MDV-2014-08-31-1810-0004.wav,10,2,0
तत्र चौलस्य विकारस्य चौल करो चौल कर्मणः विकार भूतस्य गोदानस्य विधानात् तद्विकार समावर्तनस्य उदगयन अनियमः सूच्यते सूत्रकारेण ,तत्र जलस्य विकारस्य चल कर्म चोल कर्मणः विकार भूतस्य गोधनस्य विधानात् तद् विकार समावर्त्य उदकेन नियमः सूच्यते प्रकारेण ,160,11,16,17,107,/home/holla/data/processed/KAM-2010-07-20-0428-0084.wav,10,1,0
एवं प्रयोजनं पश्यन्तः वयं यज्ञप्रयोजनं आत्मनः अभ्युदयं निष्ष्रेयसप्रयोजनं जगतः स्थितिपरिपालनं एतत् सर्वं विचार्यविचार यदि कुर्म कुर्मः अवश्यं यज्ञेन भवति ,एवम् प्रयोजनम् पश्यन्तः अयम् यज्ञ प्रयोजनम् आत्मनः हृदयम् निःश्रेयसप्रयोजना जगतः स्थितिपदम् एतत्सर्वम् विचार्य विचारयति कर्म कुर्मः अवश्यम् भवति ,646,15,37,19,135,/home/holla/data/processed/ANA-2010-07-20-0216-0234.wav,12,1,2
तत्रं गीतासु एवमुक्तं यतप्रवृत्तिर्भूतानां येनसर्वमिदं ततम् स्वकर्मणा तमभ्यर्चेत् युक्त्वा आय यत्करोषि यदश्नासि यज्जुहोषि ददासि यत् यत्तपस्यसि कौनंतेय तत्कुरुष्व मदर्पणम् ,तत्र चिता एवमुक्तम् यतः प्रवृत्तिम् भूतानाम् येन सर्वम् इदम् ततम् स्वकर्मणा ताभ्य त्यक्त्वा यत्करोषि यदश्नासि यज्ञो हि ददासि यत्तपस्यसि कौन्तेय तत्पुरुषः ,806,18,42,19,152,/home/holla/data/processed/ANA-2010-07-20-0216-0054.wav,12,4,2
श्वः केन्द्रे नरेन्द्रमोदीसन्नीतनूतनप्रशासनस्य शपथविधामुपलक्ष्य सौहार्दभावं प्रदर्शयता पाकिस्तानेन अद्य एक पञ्चाशदधिकैक शतं भारतीयधीवराः विमोच्यन्ते ,श्वः केन्द्र नरेन्द्र मोदो सन्निपततः प्रशासनस्य शप विधा उपेक्ष्य सौहार्द भावम् प्रदर्शयता पाक स्तेन अद्य एक पञ्चाशदधिकाः तम् भारती धीराः विमुच्यते ,932,17,26,13,136,/home/holla/data/processed/MGV-2014-05-25-0655-0003.wav,9,8,0
तेन यदि धर्मशब्देन आधु सोप्यर्थः व्यपदिश्येत तर्हि सामञ्जस्यं भवेत् ,तेन यदि धर्म शब्देन आदौ सम्यक् व्यपदिश्येते तर्हि सामान्यस्य भवेत् ,772,6,12,9,59,/home/holla/data/processed/AAM-2010-07-11-0520-0074.wav,5,1,0
अधिकारिणो निगदन्ति यत् केन्द्रीयारक्षिता रक्षिबलस्य अधिकारान्तर्गतं संयुक्त प्रहरि गुल्मः हेह्रंजपन्की मार्गे विस्फोटक द्वयमेतत् अधिगृहीतम् ,अधिकारिणः निपतन्ति यत् केन्द्र या रक्षिता रक्ष बलस्य अधिकारान् तर्कम् संयुक्त प्रहरौ गुल्माः हरम् पन्तः मार्गे विस्मर्येत अधि गृहीतम् ,619,16,26,14,126,/home/holla/data/processed/MDV-2014-05-10-1810-0008.wav,11,5,0
अस्मदीयो वार्ताहरो विज्ञापयति यत् भाजपासंसदीयपरिषद् अद्य उपवेशनमेकं आयोजयति यत्र नूतनशासन संरचनां शपथविधायाः तिथिनिर्धारणञ्चाभिलक्ष्य परिचर्चिष्यते ,अस्मदीयो वार्तातो विज्ञायत यत् भाषा संसदि परिषत् अद्य उपवेशने योजयति यत्र नूतन शासनम् रचना शपथविधेः पिति निर्धारणम् च अभिलक्ष्य परिचर्च्यते ,796,16,25,14,134,/home/holla/data/processed/DAJ-2014-05-17-0655-0011.wav,10,6,0
संसदीय दल्नेतृत्वेन श्रीमोदिनश्चयनानन्तरं भाजपासन्नीता राष्ट्रियलोक तान्त्रिकसंयुतिः केन्द्रे नूतनं प्रशासनं रचयितुं स्वीयां अभिघोषणां ख्यापयिष्यति ,संसदि नेतृत्वे श्री मोदन्ते नन्तुम् बाजिपासलकरः राष्ट्रिय लोकतन्त्र संयुताः केन्द्र नूतनम् प्रशासनम् रचयितुम् स्वीयाम् अभि घोषणम् यापयिष्यामि ,836,17,41,13,135,/home/holla/data/processed/BDS-2014-05-20-0655-0008.wav,13,4,0
प्रधान मन्त्री नरेन्द्रमोदी प्रत्यपादयत् यदसौ तदीयश्च जापानीयः समपदस्थः शिंज<unk>ो अबे देशद्वयमध्ये सुदृढ सम्बन्धानाम् अभिनव युगप्रवर्तनाय अतितराम् आशान्वितौ ,प्रधानमन्त्री नरेन्द्र मोदो प्रत्यपादयन् यतौ तदीयस्य जापान् समपद्यत शंस अवे देश द्वयम् सुदृढम् बद्धानाम् अभिनव युग प्रवर्तय अतितराम् अन्वितः ,673,17,32,17,141,/home/holla/data/processed/MGV-2014-08-31-0655-0001.wav,15,2,0
तेन अपरपक्षे सिद्धमपि पुनः मासि श्राद्ध सूत्रे मासिश्राद्धस्य अपरपक्षस्य इति सूत्रं कृतं पुनः पुनः तत्र अपरपक्ष्य विधानं किमर्थं इति ,तेन अपर पक्षे सिद्धम् पुनः मासि श्राद्धे सूत्रे मासि वाद्यस्य अपक्षयः इति सूत्रम् कृतम् पुनः पुनः तत्र अपक्षतम् किमर्थम् इति ,44,12,28,19,114,/home/holla/data/processed/KAM-2010-07-20-0428-0124.wav,9,2,1
अत्र तत्र सर्वगार्ह्य कर्मसु अप्राप्तं यज्ञ अयज्ञ रूपेषु एषः अप्राप्तविधिः विधीयते इति सूत्रकारः अप्राप्तविधिं दर्शयति अस्मिन् सुत्रे ,तत्र तत्र सर्वान् कर्मसु अप्राप्तम् यज्ञः यज्ञ रूपेषु एष अप्राप्तिः विधीयते इति सूत्रकारैः अप्राप्य विधिम् दर्शयति अस्मिन् सूत्रे ,27,11,18,17,117,/home/holla/data/processed/KAM-2010-07-20-0428-0107.wav,10,1,0
